draw,S,mae_or_nonnull,beta_NH-Black,se_NH-Black,OR_NH-Black,covered_NH-Black,flag_NH-Black,p_NH-Black,beta_NH-Asian,se_NH-Asian,OR_NH-Asian,covered_NH-Asian,flag_NH-Asian,p_NH-Asian,beta_NH-AmInd-AKNat,se_NH-AmInd-AKNat,OR_NH-AmInd-AKNat,covered_NH-AmInd-AKNat,flag_NH-AmInd-AKNat,p_NH-AmInd-AKNat,beta_Hispanic,se_Hispanic,OR_Hispanic,covered_Hispanic,flag_Hispanic,p_Hispanic,beta_NH-Other-Multi,se_NH-Other-Multi,OR_NH-Other-Multi,covered_NH-Other-Multi,flag_NH-Other-Multi,p_NH-Other-Multi
38,3,0.005202681223742974,-0.5067875366328214,0.013736450122693946,0.6024277507154272,True,True,5.845959770228381e-298,-0.1933292874572966,0.007536768245466581,0.824210527260736,True,True,4.06992612741086e-145,-0.051677646822560944,0.04059736054598178,0.9496349353479783,True,False,0.20304245718332503,-0.3081666423589652,0.006738671494371193,0.7347928601904493,True,True,0.0,0.014692937376829017,0.015703642095782816,1.0148014091865984,True,False,0.3494591730638327
39,3,0.013815933504836972,-0.4679974436898461,0.013736450122693946,0.6262551245578436,False,True,2.0700344740857275e-254,-0.18013884809248948,0.007536768245466581,0.8351542437868323,False,True,2.9661504285575915e-126,-0.06885786117428219,0.04059736054598178,0.9334593514651736,True,False,0.08986378170645057,-0.2928714263650678,0.006738671494371193,0.7461180656421681,True,True,0.0,-0.011512008047057374,0.015703642095782816,0.9885540015736717,True,False,0.46351033283315635
40,3,0.0017222104873214628,-0.49648258655703503,0.013736450122693946,0.6086678352702325,True,True,4.716610669640436e-286,-0.19971212695007637,0.007536768245466581,0.8189664775246664,True,True,1.0118864378089956e-154,-0.03146521032946011,0.04059736054598178,0.9690246679162727,True,False,0.43830682512425123,-0.2962359499189469,0.006738671494371193,0.7436119521393986,True,True,0.0,0.017194580903674636,0.015703642095782816,1.017343258637916,True,False,0.2735419461977201
41,3,0.00535217778281442,-0.5101979974927576,0.013736450122693946,0.6003766939630885,True,True,5.922087309135346e-302,-0.20601362832534445,0.007536768245466581,0.8138219851765578,True,True,1.6517381959734671e-164,0.011561168446344902,0.04059736054598178,1.011628257045856,True,False,0.775815486802171,-0.30676374715817417,0.006738671494371193,0.7358244209842436,True,True,0.0,0.0068486839791093695,0.015703642095782816,1.0068721898460105,True,False,0.6627491316982508
42,3,0.003496104521602835,-0.49141447839677305,0.013736450122693946,0.6117604599515584,True,True,2.7538565557369903e-280,-0.1993392358574308,0.007536768245466581,0.8192719197741186,True,True,3.756533314627472e-154,0.030270034742824352,0.04059736054598178,1.0307328300517018,True,False,0.4558995165923462,-0.30638811250890163,0.006738671494371193,0.7361008740519711,True,True,0.0,0.008470778146088825,0.015703642095782816,1.0085067567043322,True,False,0.5896006190822571
43,3,0.010188769018845393,-0.5264947747386769,0.013736450122693946,0.5906717828937827,True,True,0.0,-0.21403221027163982,0.007536768245466581,0.8073223805307,True,True,2.1158311840298177e-177,0.03602988111254409,0.04059736054598178,1.0366868233837518,True,False,0.37481342973071397,-0.3044632073886969,0.006738671494371193,0.7375191629913141,True,True,0.0,-0.007648122284970326,0.015703642095782816,0.9923810501833615,True,False,0.6262380877014213
44,3,0.0036897761435533325,-0.50268252944216,0.013736450122693946,0.6049058036967995,True,True,3.4611601400745104e-293,-0.20390699575391594,0.007536768245466581,0.8155382161772332,True,True,3.338862444577337e-161,0.011914597659071196,0.04059736054598178,1.0119858592141193,True,False,0.7691536978056601,-0.3084750421471592,0.006738671494371193,0.7345662851676404,True,True,0.0,-0.011349945612131991,0.015703642095782816,0.9887142220247295,True,False,0.4698280797428541
45,3,0.0013921392196615627,-0.49666546347416246,0.013736450122693946,0.6085565341504767,True,True,2.913768108086704e-286,-0.19973460229741657,0.007536768245466581,0.8189480711754694,True,True,9.34895099731734e-155,-0.024128210051828844,0.04059736054598178,0.9761605481401217,True,False,0.5522917341166034,-0.2973938180840992,0.006738671494371193,0.7427514458053717,True,True,0.0,0.013035612560111294,0.015703642095782816,1.0131209465479782,True,False,0.40648155386260987
46,3,0.008152795151838385,-0.5192432242011822,0.013736450122693946,0.5949706370195672,True,True,0.0,-0.20422069113393856,0.007536768245466581,0.8152824257288251,True,True,1.080203149300543e-161,0.008887242680507185,0.04059736054598178,1.008926851472435,True,False,0.8267187273126106,-0.3128382726154199,0.006738671494371193,0.7313681852684256,True,True,0.0,-0.031011767675074384,0.015703642095782816,0.9694641646696148,False,False,0.04828929284845732
47,3,0.006932082479274311,-0.515955835565713,0.013736450122693946,0.5969297551571573,True,True,9.29189727984392e-309,-0.19008238476362554,0.007536768245466581,0.8268910079168962,True,True,2.376574493519163e-140,-0.0664028273853528,0.04059736054598178,0.9357538410859426,True,False,0.10191412529249981,-0.29591142928075775,0.006738671494371193,0.7438533087251503,True,True,0.0,0.02201721565532578,0.015703642095782816,1.0222613832185772,True,False,0.16090175662245187
